Sample,Input,Quality_filtered,Denoised_R1,Denoised_R2,Merged,Non_chimeric,UNCROSS2_filtered,Contaminant_filtered,BOLD_plant_target,BOLD_unassigned
LME1636,51629,48279,47947,47971,29761,24014,24014,NA,21299,2715
LME1637,23315,17164,16989,17028,11325,9967,9967,NA,9967,0
LME1656,71557,66063,65973,65920,59596,49390,49360,NA,31335,18025
LME1663,26695,13334,13191,13263,11024,10967,10949,NA,10676,273
LME1668,46256,42683,42465,42509,34294,32942,32903,NA,32134,769
LME1670,54932,51084,50871,50914,22141,20514,20514,NA,20514,0
LME1679,41857,38952,38747,38809,30443,25324,25324,NA,25322,2
LME1689,29356,25005,24810,24873,11857,10395,10395,NA,10395,0
LME1692,37868,34513,34357,34306,32344,24531,23738,NA,23738,0
LME1695,43437,40446,40273,40251,35417,33699,33699,NA,33357,342
LME1698,51536,47715,47640,47639,43366,42260,42228,NA,42228,0
LME1701,53498,49420,49327,49200,44924,43923,43839,NA,43839,0
LME1702,55819,51280,51151,51103,44019,41686,41686,NA,41654,32
LME1705,64549,59737,59467,59477,54710,51885,51853,NA,51310,543
LME1708,55944,51940,51658,51539,34341,32274,32274,NA,31784,490
LME1714,41892,37926,37743,37749,33504,31334,31334,NA,31334,0
